category,product_code,pos_code,pos_code_flag,description
Fruit,4503253,00000300,,AVOCADO
Fruit,4504004,00002288,,BANANA AMBUL
Fruit,4504005,00002297,,BANANA AMBUN
Fruit,4504006,00002305,,BANANA CAVENDISH
Fruit,4504008,00002321,,BANANA KOLIKUTTU
Fruit,4507913,00001451,,BANANA RED
Fruit,4504010,00002341,,BANANA SEENI
Fruit,4503251,00000296,,BELI
Fruit,4507154,00001408,,Dole banana
Fruit,4504494,00003063,,DRAGON FRUIT
Fruit,4504495,00003083,,DURIAN
Fruit,4504496,00003086,,GADUGUDA
Fruit,4504498,00003106,,GRAPE FRUIT - LOCAL
Fruit,4503255,00000316,,GUAVA
Fruit,4503256,00000318,,JAMBOLA
Fruit,4503257,00000321,,JAMBU
Fruit,4503258,00000325,,KAMARANKA (STAR FRUIT)
Fruit,4503259,00000339,,KATU ANODA
Fruit,4503260,00000346,,KING COCONUT
Fruit,4503262,00000350,,LAULU
Fruit,4503290,00000452,,LOCAL POMEGRANATE
Fruit,4503263,00000355,,LOVI
Fruit,4503265,00000371,,MANDARIN LOCAL-JAMA NARAN
Fruit,4503266,00000377,,MANDARIN SMALL
Fruit,4503268,00000385,,MANGO BUD
Fruit,4503270,00000398,,MANGO K/C
Fruit,4503272,00000402,,MANGO TJC GRADE 1
Fruit,4503273,00000403,,MANGO VILAD
Fruit,4503274,00000404,,MANGOSTEEN
Fruit,4503275,00000407,,MELON CANTALOUPE
Fruit,4503276,00000408,,MELON CHINESE (WATER MELON)
Fruit,4503277,00000409,,MELON DARK BELL
Fruit,4503279,00000410,,MELON HONEY DEEW
Fruit,4503281,00000420,,MELON RED FANTASY
Fruit,4503280,00000413,,MELON YELLOW BRILLIANT
Fruit,4503282,00000422,,NELLI
Fruit,4507942,00002373,,NELNA MANGO TJC
Fruit,4511744,00012340,,NIL VERALU
Fruit,4503283,00000423,,OLIVES (VERALU)
Fruit,4503284,00000425,,ORANGE LOCAL
Fruit,4503285,00000428,,PAPAYA
Fruit,4503286,00000431,,PAPAYA TANNING
Fruit,4503287,00000433,,PASSION FRUIT
Fruit,4503288,00000439,,PEARS LOCAL
Fruit,4503289,00000444,,PINEAPPLE
Fruit,4503291,00000457,,RAMBUTAN
Fruit,4503293,00000470,,SAPATILLA
Fruit,4503294,00000478,,SEENI ANODA
Fruit,4503295,00000482,,SEENI KAKIRI
Fruit,3020792,00021793,,SUGERCANE KG
